PROBLEM NAME: 	a280-TTP
KNAPSACK DATA TYPE: bounded strongly corr
DIMENSION:	500
NUMBER OF ITEMS: 	499
CAPACITY OF KNAPSACK: 	230000
MIN SPEED: 	0.1
MAX SPEED: 	1
RENTING RATIO: 	0.2
EDGE_WEIGHT_TYPE:	CEIL_2D
NODE_COORD_SECTION	(INDEX, X, Y): 
103	5878	6768
104	5879	6738
105	5879	6970
106	5884	6394
107	5890	6253
108	5890	6718
109	5891	6000
110	5892	6668
111	5893	6880
112	5895	6840
113	5896	6122
114	5897	6324
115	5898	6304
116	5900	6496
117	5902	5971
118	5902	6911
119	5905	6365
120	5905	6618
121	5906	7042
122	5908	6759
123	5908	7002
124	5909	6042
125	5910	6264
126	5911	6941
127	5912	6456
128	5913	6891
129	5914	6163
130	5917	6568
131	5920	6022
132	5928	6083
133	5932	6225
134	5939	6983
135	5940	6275
136	5940	6953
137	5941	6245
138	5944	6185
139	5945	5922
140	5945	6144
141	5946	6367
142	5947	7034
143	5949	6296
144	5949	6529
145	5953	6195
146	5956	6832
147	5957	6114
148	5959	6064
149	5961	6479
150	5961	6944
151	5962	6923
152	5963	6438
153	5963	6671
154	5964	6418
155	5964	6651
156	5965	7095
157	5966	6610
158	5968	7025
159	5973	6894
160	5975	6388
161	5975	6398
162	5977	5873
163	5977	6803
164	5978	6783
165	5980	6742
166	5981	6712
167	5981	6945
168	5982	6004
169	5984	5964
170	5984	7117
171	5986	6844
172	5986	7076
173	5989	5833
174	5990	6975
175	5991	6247
176	5997	5884
177	5997	7036
178	5998	6096
179	6004	5965
180	6009	6996
181	6010	6289
182	6011	6723
183	6012	6926
184	6015	6178
185	6016	6147
186	6017	6360
187	6019	5854
188	6019	6552
189	6019	7007
190	6020	6977
191	6023	6906
192	6024	6663
193	6025	5935
194	6026	6603
195	6028	6107
196	6029	6785
197	6031	6047
198	6031	6259
199	6033	6229
200	6034	6209
201	6035	6168
202	6036	7078
203	6041	5805
204	6041	6502
205	6041	6735
206	6042	6017
207	6042	6472
208	6045	6179
209	6046	5916
210	6046	6856
211	6052	6938
212	6054	6200
213	6055	6422
214	6058	6351
215	6060	6058
216	6060	6523
217	6062	6483
218	6063	6453
219	6065	5957
220	6065	6645
221	6068	6817
222	6070	6999
223	6071	6736
224	6074	6666
225	6076	6403
226	6076	6615
227	6076	7090
228	6077	6372
229	6077	9153
230	6078	5887
231	6078	6110
232	6080	5847
233	6081	5817
234	6081	6969
235	6082	5796
236	6085	6423
237	6086	6868
238	6087	6150
239	6088	6130
240	6089	6322
241	6090	6777
242	6093	6474
243	6094	5989
244	6097	7071
245	6098	6808
246	6102	6950
247	6105	6424
248	6106	6394
249	6106	7102
250	6108	5899
251	6109	6091
252	6110	7011
253	6111	6050
254	6111	6293
255	6114	5767
256	6114	5990
257	6115	6667
258	6116	6637
259	6116	9195
260	6117	6607
261	6118	9144
262	6120	5859
263	6120	6536
264	6121	6759
265	6122	6506
266	6123	6253
267	6123	6708
268	6124	7608
269	6126	5940
270	6126	6172
271	6127	6850
272	6128	7527
273	6131	6991
274	6133	6951
275	6134	5758
276	6135	6901
277	6135	9206
278	6136	7103
279	6139	6335
280	6141	6072
281	6141	6304
282	6141	9064
283	6142	6042
284	6142	7659
285	6143	6476
286	6143	7639
287	6145	9671
288	6146	5708
289	6146	7579
290	6147	5931
291	6147	6628
292	6147	7073
293	6148	6841
294	6149	7498
295	6150	6325
296	6150	6548
297	6151	5840
298	6153	5800
299	6154	6689
300	6154	7144
301	6155	5982
302	6156	7346
303	6158	5901
304	6158	9601
305	6159	5648
306	6159	6113
307	6160	6791
308	6161	6295
309	6161	7468
310	6162	6508
311	6164	6457
312	6166	6892
313	6166	7114
314	6167	7327
315	6169	7034
316	6172	6053
317	6172	6973
318	6173	9258
319	6174	6458
320	6174	7165
321	6176	5730
322	6176	5962
323	6176	7580
324	6176	9662
325	6177	6862
326	6177	7550
327	6177	9167
328	6180	6802
329	6181	5841
330	6181	7459
331	6182	6519
332	6182	6751
333	6183	9046
334	6184	5781
335	6185	6903
336	6185	8520
337	6186	6428
338	6187	6397
339	6189	6590
340	6189	7277
341	6190	5862
342	6190	6327
343	6190	6559
344	6190	9562
345	6191	7237
346	6193	6964
347	6193	7661
348	6196	6651
349	6196	9198
350	6199	5670
351	6199	7055
352	6200	7500
353	6201	6782
354	6201	9320
355	6202	7450
356	6204	6247
357	6204	7409
358	6204	9724
359	6206	9674
360	6207	6166
361	6208	6853
362	6209	8441
363	6209	9361
364	6210	5863
365	6210	9108
366	6211	7005
367	6212	6297
368	6213	5802
369	6213	6955
370	6215	5984
371	6215	6692
372	6215	7602
373	6217	5701
374	6217	5944
375	6217	7329
376	6217	7571
377	6218	6621
378	6218	7531
379	6219	5903
380	6219	9604
381	6223	6490
382	6224	7643
383	6225	8532
384	6225	9230
385	6227	7107
386	6228	9159
387	6232	9068
388	6233	5803
389	6233	7431
390	6234	5793
391	6234	6723
392	6234	6935
393	6235	6460
394	6236	6430
395	6236	7138
396	6238	6390
397	6239	6834
398	6239	7057
399	6239	7522
400	6240	9807
401	6241	5854
402	6241	6774
403	6241	9089
404	6245	6218
405	6245	8553
406	6245	8998
407	6246	7360
408	6247	9190
409	6248	8483
410	6249	5672
411	6249	6137
412	6249	6380
413	6250	6582
414	6250	9362
415	6250	9595
416	6251	6552
417	6251	7017
418	6252	8392
419	6253	6047
420	6253	6279
421	6254	6249
422	6256	5966
423	6256	6663
424	6256	9686
425	6257	6411
426	6258	6623
427	6258	7563
428	6259	5915
429	6259	8463
430	6262	6997
431	6262	9535
432	6262	9545
433	6263	6057
434	6263	9050
435	6266	6219
436	6266	7604
437	6267	5946
438	6269	9838
439	6270	7038
440	6270	7513
441	6270	9596
442	6272	5835
443	6272	9768
444	6273	8363
445	6273	9293
446	6274	6715
447	6275	5997
448	6276	6907
449	6277	6199
450	6277	7119
451	6277	7342
452	6277	8979
453	6277	9424
454	6278	5694
455	6278	9182
456	6280	6584
457	6280	7271
458	6280	9141
459	6281	6341
460	6282	7463
461	6282	8393
462	6283	7433
463	6283	9061
464	6285	8565
465	6285	9010
466	6285	9253
467	6286	6675
468	6287	8515
469	6287	9667
470	6288	6169
471	6288	7099
472	6289	5684
473	6289	6382
474	6289	8464
475	6291	6786
476	6292	6089
477	6292	6999
478	6293	7666
479	6294	6038
480	6295	6483
481	6295	8323
482	6295	9476
483	6296	7605
484	6298	9415
485	6299	6150
486	6299	7535
487	6300	5887
488	6300	6817
489	6302	6534
490	6302	7242
491	6306	6443
492	6306	8991
493	6311	7040
494	6312	9325
495	6313	6757
496	6313	9527
497	6314	9284
498	6315	8567
499	6317	5968
500	6317	6191
ITEMS SECTION	(INDEX, PROFIT, WEIGHT, ASSIGNED NODE NUMBER): 
1	101	1	2
2	202	2	3
3	404	4	4
4	202	2	5
5	996	896	6
6	1992	1792	7
7	3984	3584	8
8	467	367	9
9	934	734	10
10	1868	1468	11
11	790	690	12
12	790	690	13
13	713	613	14
14	1426	1226	15
15	2852	2452	16
16	974	874	17
17	974	874	18
18	222	122	19
19	444	244	20
20	888	488	21
21	666	366	22
22	586	486	23
23	1172	972	24
24	1172	972	25
25	923	823	26
26	923	823	27
27	563	463	28
28	1126	926	29
29	563	463	30
30	689	589	31
31	1378	1178	32
32	1378	1178	33
33	425	325	34
34	850	650	35
35	1700	1300	36
36	1275	975	37
37	1100	1000	38
38	2200	2000	39
39	4400	4000	40
40	876	776	41
41	1752	1552	42
42	2628	2328	43
43	223	123	44
44	456	356	45
45	405	305	46
46	810	610	47
47	1620	1220	48
48	405	305	49
49	147	47	50
50	294	94	51
51	588	188	52
52	745	645	53
53	1490	1290	54
54	2980	2580	55
55	1490	1290	56
56	239	139	57
57	347	247	58
58	694	494	59
59	1388	988	60
60	1041	741	61
61	311	211	62
62	622	422	63
63	1244	844	64
64	933	633	65
65	200	100	66
66	400	200	67
67	800	400	68
68	200	100	69
69	727	627	70
70	1454	1254	71
71	1454	1254	72
72	860	760	73
73	1720	1520	74
74	876	776	75
75	1752	1552	76
76	3504	3104	77
77	575	475	78
78	1150	950	79
79	2300	1900	80
80	1037	937	81
81	2074	1874	82
82	4148	3748	83
83	1037	937	84
84	201	101	85
85	402	202	86
86	804	404	87
87	402	202	88
88	381	281	89
89	762	562	90
90	1524	1124	91
91	762	562	92
92	851	751	93
93	1702	1502	94
94	3404	3004	95
95	1702	1502	96
96	630	530	97
97	1260	1060	98
98	2520	2120	99
99	340	240	100
100	680	480	101
101	680	480	102
102	348	248	103
103	696	496	104
104	1044	744	105
105	868	768	106
106	131	31	107
107	262	62	108
108	131	31	109
109	713	613	110
110	1426	1226	111
111	2852	2452	112
112	713	613	113
113	981	881	114
114	1962	1762	115
115	1962	1762	116
116	467	367	117
117	934	734	118
118	1868	1468	119
119	467	367	120
120	812	712	121
121	510	410	122
122	1020	820	123
123	2040	1640	124
124	510	410	125
125	257	157	126
126	514	314	127
127	1028	628	128
128	771	471	129
129	924	824	130
130	342	242	131
131	572	472	132
132	1144	944	133
133	1716	1416	134
134	822	722	135
135	1644	1444	136
136	3288	2888	137
137	875	775	138
138	875	775	139
139	471	371	140
140	942	742	141
141	1884	1484	142
142	437	337	143
143	874	674	144
144	437	337	145
145	985	885	146
146	1970	1770	147
147	3940	3540	148
148	1970	1770	149
149	304	204	150
150	608	408	151
151	1216	816	152
152	608	408	153
153	694	594	154
154	1388	1188	155
155	2776	2376	156
156	1388	1188	157
157	326	226	158
158	652	452	159
159	1304	904	160
160	326	226	161
161	652	452	162
162	1021	921	163
163	637	537	164
164	1274	1074	165
165	2548	2148	166
166	212	112	167
167	212	112	168
168	1059	959	169
169	2118	1918	170
170	3177	2877	171
171	492	392	172
172	492	392	173
173	809	709	174
174	1618	1418	175
175	3236	2836	176
176	1040	940	177
177	2080	1880	178
178	1043	943	179
179	2086	1886	180
180	4172	3772	181
181	179	79	182
182	179	79	183
183	1022	922	184
184	2044	1844	185
185	2044	1844	186
186	461	361	187
187	1047	947	188
188	2094	1894	189
189	1047	947	190
190	961	861	191
191	1922	1722	192
192	3844	3444	193
193	2883	2583	194
194	1037	937	195
195	2074	1874	196
196	4148	3748	197
197	3111	2811	198
198	854	754	199
199	1708	1508	200
200	2562	2262	201
201	972	872	202
202	736	636	203
203	736	636	204
204	559	459	205
205	1118	918	206
206	2236	1836	207
207	1677	1377	208
208	490	390	209
209	490	390	210
210	241	141	211
211	482	282	212
212	723	423	213
213	211	111	214
214	422	222	215
215	844	444	216
216	633	333	217
217	688	588	218
218	1376	1176	219
219	688	588	220
220	106	6	221
221	106	6	222
222	255	155	223
223	510	310	224
224	1020	620	225
225	765	465	226
226	823	723	227
227	1646	1446	228
228	3292	2892	229
229	1646	1446	230
230	823	723	231
231	1646	1446	232
232	3292	2892	233
233	2469	2169	234
234	767	667	235
235	1534	1334	236
236	1534	1334	237
237	929	829	238
238	1858	1658	239
239	3716	3316	240
240	929	829	241
241	587	487	242
242	1174	974	243
243	1174	974	244
244	690	590	245
245	1380	1180	246
246	2760	2360	247
247	1380	1180	248
248	470	370	249
249	940	740	250
250	1880	1480	251
251	923	823	252
252	1846	1646	253
253	3692	3292	254
254	923	823	255
255	273	173	256
256	546	346	257
257	156	56	258
258	1077	977	259
259	2154	1954	260
260	3231	2931	261
261	781	681	262
262	1562	1362	263
263	2343	2043	264
264	789	689	265
265	1578	1378	266
266	3156	2756	267
267	789	689	268
268	1033	933	269
269	2066	1866	270
270	3099	2799	271
271	909	809	272
272	1818	1618	273
273	687	587	274
274	1374	1174	275
275	786	686	276
276	1572	1372	277
277	786	686	278
278	566	466	279
279	456	356	280
280	912	712	281
281	912	712	282
282	884	784	283
283	884	784	284
284	962	862	285
285	1924	1724	286
286	3848	3448	287
287	2886	2586	288
288	323	223	289
289	646	446	290
290	1292	892	291
291	969	669	292
292	641	541	293
293	1282	1082	294
294	2564	2164	295
295	161	61	296
296	322	122	297
297	516	416	298
298	516	416	299
299	162	62	300
300	162	62	301
301	305	205	302
302	610	410	303
303	252	152	304
304	504	304	305
305	1008	608	306
306	504	304	307
307	1013	913	308
308	2026	1826	309
309	4052	3652	310
310	3039	2739	311
311	367	267	312
312	734	534	313
313	1468	1068	314
314	349	249	315
315	698	498	316
316	349	249	317
317	287	187	318
318	574	374	319
319	1148	748	320
320	861	561	321
321	274	174	322
322	548	348	323
323	274	174	324
324	1039	939	325
325	1039	939	326
326	619	519	327
327	1238	1038	328
328	1238	1038	329
329	156	56	330
330	312	112	331
331	624	224	332
332	312	112	333
333	481	381	334
334	962	762	335
335	1924	1524	336
336	962	762	337
337	651	551	338
338	1302	1102	339
339	1302	1102	340
340	228	128	341
341	456	256	342
342	912	512	343
343	912	812	344
344	1824	1624	345
345	3648	3248	346
346	2736	2436	347
347	853	753	348
348	1706	1506	349
349	3412	3012	350
350	1706	1506	351
351	644	544	352
352	1288	1088	353
353	644	544	354
354	784	684	355
355	1568	1368	356
356	2352	2052	357
357	930	830	358
358	1860	1660	359
359	1860	1660	360
360	825	725	361
361	1650	1450	362
362	3300	2900	363
363	2475	2175	364
364	430	330	365
365	860	660	366
366	430	330	367
367	215	115	368
368	138	38	369
369	276	76	370
370	545	445	371
371	1090	890	372
372	1635	1335	373
373	719	619	374
374	1438	1238	375
375	2876	2476	376
376	2157	1857	377
377	748	648	378
378	996	896	379
379	1992	1792	380
380	2988	2688	381
381	758	658	382
382	1516	1316	383
383	3032	2632	384
384	406	306	385
385	812	612	386
386	1218	918	387
387	906	806	388
388	1812	1612	389
389	3624	3224	390
390	1812	1612	391
391	900	800	392
392	1800	1600	393
393	712	612	394
394	1424	1224	395
395	454	354	396
396	400	300	397
397	800	600	398
398	1600	1200	399
399	800	600	400
400	274	174	401
401	548	348	402
402	1096	696	403
403	548	348	404
404	851	751	405
405	1702	1502	406
406	226	126	407
407	226	126	408
408	703	603	409
409	703	603	410
410	765	665	411
411	309	209	412
412	618	418	413
413	1236	836	414
414	408	308	415
415	408	308	416
416	816	616	417
417	1632	1232	418
418	1224	924	419
419	777	677	420
420	1554	1354	421
421	3108	2708	422
422	2331	2031	423
423	963	863	424
424	1926	1726	425
425	2889	2589	426
426	392	292	427
427	392	292	428
428	544	444	429
429	1088	888	430
430	2176	1776	431
431	544	444	432
432	395	295	433
433	513	413	434
434	172	72	435
435	344	144	436
436	688	288	437
437	172	72	438
438	421	321	439
439	842	642	440
440	421	321	441
441	1081	981	442
442	2162	1962	443
443	1081	981	444
444	897	797	445
445	1794	1594	446
446	1794	1594	447
447	607	507	448
448	1214	1014	449
449	2428	2028	450
450	1214	1014	451
451	815	715	452
452	815	715	453
453	612	512	454
454	1224	1024	455
455	2448	2048	456
456	612	512	457
457	992	892	458
458	1984	1784	459
459	1984	1784	460
460	176	76	461
461	352	152	462
462	352	152	463
463	122	22	464
464	244	44	465
465	488	88	466
466	244	44	467
467	743	643	468
468	1486	1286	469
469	743	643	470
470	966	866	471
471	1932	1732	472
472	1932	1732	473
473	174	74	474
474	348	148	475
475	348	148	476
476	608	508	477
477	1216	1016	478
478	1824	1524	479
479	343	243	480
480	876	776	481
481	1752	1552	482
482	3504	3104	483
483	426	326	484
484	852	652	485
485	1704	1304	486
486	852	652	487
487	794	694	488
488	1588	1388	489
489	2382	2082	490
490	762	662	491
491	1524	1324	492
492	3048	2648	493
493	1524	1324	494
494	117	17	495
495	234	34	496
496	468	68	497
497	234	34	498
498	754	654	499
499	1508	1308	500
